property_id,property_category,property_title,property_type,seller_name,seller_id,seller_type,open_viewing,no_of_photos,available_from,lease_units,available_for,area,county,latitude,longitude,furnished,bathrooms,beds,facility,environment,published_date,page_name,platform,currency,price_frequency,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
1763177,rental,"Alexandra College, Milltown, Dublin 6",apartment,J&S Property Management,8277,agent,no,9,2017-09-01,months,9,Milltown,Dublin,53.310352239247,-6.2502336502075,yes,12,47,"Parking,Central Heating,House Alarm,Washing Machine,Dryer,Dishwasher,Microwave,Wheelchair Access,Internet",prod,2017-09-07,PropertyDetails,desktop,€,monthly,750,True,,True,,True,,,True,True,True,,True,True,True
1764745,rental,"Alexandra College, Rathmines, Rathmines, Dublin 6",apartment,J&S Property Management,8277,agent,no,11,2017-09-01,months,12,Rathmines,Dublin,53.310352239247,-6.2502336502075,yes,3,6,"Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Internet",prod,2017-09-07,PropertyDetails,desktop,€,monthly,750,,True,True,,True,,,,True,True,,,,True
1771280,rental,"34, Ballybough, Dublin 3",apartment,,,private,no,0,2017-09-08,months,12,Ballybough,Dublin,51.510516,-0.152571,yes,1,2,"Parking,Central Heating,Washing Machine",prod,2017-09-07,PropertyDetails,desktop,€,monthly,1300,True,,,,True,,,,True,,,,,
1768496,rental,"Dorset Point, 107 Dorset Street Upper, Dublin 1, I, Dublin 1, Dublin 1",apartment,,,private,no,40,2017-09-07,months,9,Dublin 1,Dublin,53.354942,-6.2664278,yes,4,4,"Central Heating,Washing Machine,Dryer,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-07,PropertyDetails,desktop,€,weekly,1065,,,True,True,True,True,,,True,True,,,,True
1770742,rental,"Cedar Hall, Millbrook Court, Milltown, Dublin 6, Milltown, Dublin 6",apartment,Borgman Earls Lettings & Management,9739,agent,no,20,2017-09-18,months,12,Milltown,Dublin,53.317132482138,-6.2436890602112,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-07,PropertyDetails,desktop,€,monthly,2400,True,True,True,True,True,,,,True,True,,True,,True
1751438,rental,"Penthouse Apartment, Intercontinental Hotel, Ballsbridge, Dublin 4",apartment,Galvin Property & Finance,2236,agent,no,30,2017-06-28,months,12,Ballsbridge,Dublin,53.3266532,-6.2260883,yes,3,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Wheelchair Access,Internet,Garden / Patio / Balcony",prod,2017-09-07,PropertyDetails,desktop,€,monthly,7000,True,True,True,True,True,,,True,True,True,,True,,True
1769960,rental,"Spencer Dock, IFSC, Dublin 1",apartment,,,private,no,12,2017-09-11,months,12,IFSC,Dublin,53.3497868,-6.2392204,yes,2,1,"Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-06,PropertyDetails,desktop,€,monthly,2000,,,True,True,True,,,,True,True,,True,,True
1771006,rental,"Longboat Quay North Sir John Rogersons Quay, Dublin 2, Dublin 2",apartment,,,private,no,10,2017-09-20,months,0,Dublin 2,Dublin,53.340022132234,-6.2542258544742,yes,1,1,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet",prod,2017-09-06,PropertyDetails,desktop,€,weekly,2174,True,True,True,,True,,,,True,True,,True,,True
1767974,rental,"7 The Hall, Laurel Place, Terenure, Dublin 6w",apartment,Bracken Estates,8456,agent,no,17,2017-08-30,months,12,Terenure,Dublin,53.309994,-6.290154,yes,2,3,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-06,PropertyDetails,desktop,€,monthly,2200,True,True,True,True,True,,,,True,True,,True,,True
1766870,rental,"82 The Island Chapelizod, Chapelizod, Dublin 20",apartment,,,private,no,8,2017-09-10,months,12,Chapelizod,Dublin,53.347142406236,-6.3403468092773,yes,1,1,,prod,2017-09-05,PropertyDetails,desktop,€,monthly,1450,,,,,,,,,,,,,,
1764119,rental,"Alexandra Walk, Dublin 2, Dublin 2",apartment,Scandik Property Services Limited,990,agent,no,6,2017-08-17,months,0,Dublin 2,Dublin,53.340277695428,-6.2683010101318,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-05,PropertyDetails,desktop,€,weekly,3630,True,True,True,True,True,True,,,True,True,,True,,True
1766766,rental,"Adelaide Square, Dublin 2, Dublin 2",apartment,Scandik Property Services Limited,990,agent,no,15,2017-08-23,months,0,Dublin 2,Dublin,53.340290506973,-6.2683653831482,yes,1,1,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-05,PropertyDetails,desktop,€,weekly,2934,True,True,True,True,True,True,,,True,True,,True,,True
1766035,rental,"Alexandra Walk, Dublin 2, Dublin 2",apartment,Scandik Property Services Limited,990,agent,no,16,2017-08-21,months,0,Dublin 2,Dublin,53.3405688,-6.2666686,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-05,PropertyDetails,desktop,€,weekly,3369,True,True,True,True,True,True,,,True,True,,True,,True
1767319,rental,"13 The Lighthouse, Robswall, Malahide, Co. Dublin",apartment,Bracken Estates,8456,agent,no,8,2017-08-28,months,12,Malahide,Dublin,53.444475019,-6.131083502,yes,2,2,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-05,PropertyDetails,desktop,€,monthly,1426,True,True,True,True,True,,,,True,True,,True,True,True
1769039,rental,"Clarion Quay, IFSC, Dublin 1",apartment,Just Property Ltd,7146,agent,no,12,2017-08-31,months,12,IFSC,Dublin,53.348691489421,-6.2448906898499,yes,2,2,"Central Heating,House Alarm,Cable Television,Washing Machine,Microwave",prod,2017-09-05,PropertyDetails,desktop,€,monthly,2850,,True,,,True,,,,True,True,,,True,
1706149,rental,"Clancy Quay by Kennedy Wilson, Dublin 8, Dublin 8",apartment,Kennedy Wilson,9601,agent,no,17,2017-07-18,months,12,Dublin 8,Dublin,53.346732945397,-6.3066362143218,yes,2,2,"Central Heating,Cable Television,Washing Machine,Dishwasher,Microwave",prod,2017-09-05,PropertyDetails,desktop,€,monthly,1900,,True,,,True,,,,True,True,,True,,
1760619,rental,"Clancy Quay Phase Two by Kennedy Wilson, Dublin 8, Dublin 8",apartment,Kennedy Wilson,9601,agent,no,19,2017-08-01,months,12,Dublin 8,Dublin,53.34607068346,-6.3063358068302,yes,1,1,"Central Heating,Cable Television,Washing Machine,Dishwasher,Microwave,Internet",prod,2017-09-05,PropertyDetails,desktop,€,monthly,1750,,True,,,True,,,,True,True,,True,,True
1690653,rental,"Sandford Lodge by Kennedy Wilson, Ranelagh, Dublin 6",apartment,Kennedy Wilson,9601,agent,no,18,2017-07-24,months,12,Ranelagh,Dublin,53.322732516965,-6.2487316131592,yes,2,2,"Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Garden / Patio / Balcony",prod,2017-09-05,PropertyDetails,desktop,€,monthly,2500,True,,True,True,True,,,,True,True,,True,,
1770302,rental,"40 Abbey View, Monkstown, Co. Dublin",apartment,,,private,no,4,2017-09-09,months,12,Monkstown,Dublin,53.291163463733,-6.1588238462884,yes,1,1,"Parking,Central Heating,Washing Machine,Dryer,Microwave,Garden / Patio / Balcony",prod,2017-09-05,PropertyDetails,desktop,€,monthly,1400,True,,True,True,True,,,,True,True,,,,
1770271,rental,"No 8 Cairnbrook Hall, Cairnbrook, Carrickmines, Carrickmines, Dublin 18",apartment,,,private,no,16,2017-09-20,months,12,Carrickmines,Dublin,53.246738070169,-6.1815387021302,yes,1,1,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dishwasher,Microwave,Internet,Serviced Property",prod,2017-09-05,PropertyDetails,desktop,€,weekly,1856,True,True,,,True,True,,,True,True,,True,True,True
1769005,rental,"The Sweepstakes, Ballsbridge, Dublin 4",apartment,,,private,no,5,2017-09-04,months,12,Ballsbridge,Dublin,53.331289448085,-6.228523850441,yes,1,2,"Cable Television,Washing Machine,Dishwasher,Internet",prod,2017-09-04,PropertyDetails,desktop,€,monthly,2250,,True,,,True,,,,,,,True,,True
